On ^in++++=ON
extinct ^jj+atrb+++=extinct
hominids ^nns+++??+=hominids
( ^zz++++=(Hawks
hawks ^nns+++??+=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
with ^in++++=with
new ^jj+atrb+++=new
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
pioneered ^xvbn+++xvbn+=pioneered
by ^in++++=by
Svante ^np+++??+=Svante
Paabo ^np+++??+=Paabo,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
analysis ^nn++++=analysis
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
possible ^jj++++=possible
( ^zz++++=(Krings
krings ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
last ^ap++++=last
six ^cd++++=six
years ^nns++++=years,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
reconstruct ^vb++++=reconstruct
two ^cd++++=two
partial ^jj+atrb+++=partial
genomes ^nns+++??+=genomes
of ^in++++=of
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^nns+++??+=neanderthalensis
( ^zz++++=(Krings
krings ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
these ^dt+dem+++=these
genomes ^nns+++??+=genomes
has ^vbz+hvz+aux++=has
suggested ^vprf+++xvbnx+=suggested
to ^in++++=to
some ^dti++++=some
that ^cs+sub+++=that
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
did ^vbd+dod+aux++=did
not ^xnot++not++=not
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
modern ^jj+atrb+++=modern
day ^nn++++=day
gene ^np++++=gene
pool ^nn++++=pool
( ^zz++++=(Caramelli
caramelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Gibbons ^np++++=Gibbons,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Kahn ^np+++??+=Kahn
Gibbons ^np++++=Gibbons,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Kahn ^np+++??+=Kahn
Kahn ^np+++??+=Kahn
& ^zz++++=&
Gibbons ^np++++=Gibbons,
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000)
) ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
evolutionary ^jj++++=evolutionary
dead ^jj++++=dead-end.
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
would ^md+prd+++=would
mean ^vb++++=mean
that ^tht+vcmp+++=that
modern ^jj+atrb+++=modern
humans ^nns++++=humans
replaced ^vwbn+++xvbn+=replaced
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
in ^in++++=in
Eurasia ^np+++??+=Eurasia
and ^cc++++=and
Australasia ^np+++??+=Australasia.
. ^zz++++=EXTRAWORD
Matthias ^np+++??+=Matthias
Krings ^np+++??+=Krings
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^in++++=to
successfully ^rb++++=successfully
study ^vb++++=study
Neandertal ^np+nom++??+=Neandertal
Dna ^np+++??+=DNA
in ^in++++=in
1997 ^cd+date+++=1997
( ^zz++++=(Krings
krings ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
analysis ^nn++++=analysis
was ^vbd+bedz+vrb++=was
of ^in++++=of
mtdna ^nn+++??+=mtDNA
of ^in++++=of
a ^at++++=a
Neandertal ^np+nom++??+=Neandertal
found ^vbd+vprv++xvbn+=found
in ^in++++=in
Feldhofer ^np+nom++??+=Feldhofer,
, ^zz++++=EXTRAWORD
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
dated ^jj++++=dated
less ^ql++++=less
then ^rn+tm+++=then
100 ^cd++++=100-ky
- ^zz++++=EXTRAWORD
ky ^nn+++??+=EXTRAWORD
old ^jj++++=old.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
study ^nn++++=study
and ^cc++++=and
all ^abn++++=all
subsequent ^jj+atrb+++=subsequent
studies ^nns++++=studies
since ^cs+sub+++=since
mtdna ^nn+++??+=mtDNA
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
per ^nnu++++=per
cell ^nn++++=cell
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
significant ^jj+atrb+++=significant
number ^nn++++=number
of ^in++++=of
copies ^nns++++=copies
of ^in++++=of
mtdna ^nn+++??+=mtDNA,
, ^zz++++=EXTRAWORD
as ^in++++=as
opposed ^in"++++=opposed
to ^in++++=to
the ^ati++++=the
one ^cd1++++=one
nuclear ^jj+atrb+++=nuclear
copy ^nn++++=copy
of ^in++++=of
Dna ^np+++??+=DNA
( ^zz++++=(Krings
krings ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
duplicated ^vwbn+++xvbn+=duplicated
fragments ^nns+nom+++=fragments
of ^in++++=of
the ^ati++++=the
mtdna ^nn+++??+=mtDNA
using ^vwbg+++xvbg+=using
Pcr ^np+++??+=PCR
and ^cc++++=and
obtained ^vbd+++xvbn+=obtained
a ^at++++=a
379bp ^cd++++=379bp
fragment ^nn+nom+++=fragment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
amplification ^nn+nom+++=amplification
process ^nns+nom+++=process
on ^in++++=on
ancient ^jj+atrb+++=ancient
Dna ^np+++??+=DNA
( ^zz++++=(aDNA)
adna ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
yet ^rb++++=yet
to ^to++++=to
be ^vbi+vbi+aux++=be
proven ^vpsv++agls+xvbnx+=proven
entirely ^rb+amp+++=entirely
reliable ^jj++++=reliable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
recent ^jj+atrb+++=recent
studies ^nns++++=studies
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
with ^in++++=with
the ^ati++++=the
proper ^jj+atrb+++=proper
precautions ^nns+nom+++=precautions
a ^at++++=a
reliable ^jj+atrb+++=reliable
sample ^nn++++=sample
can ^md+pos+++=can
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained
( ^zz++++=(Gilbert
gilbert ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
then ^rn+tm+++=then
proceeded ^vbd+++xvbn+=proceeded
to ^to++++=to
compare ^vbi++++=compare
the ^ati++++=the
sequence ^nn+nom+++=sequence
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
modern ^jj+atrb+++=modern
humans ^nns++++=humans
and ^cc++++=and
chimpanzees ^nns+nom+++=chimpanzees.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
obtained ^vbd+++xvbnx+=obtained
an ^at++++=an
average ^jj+atrb+++=average
difference ^nn+nom+++=difference
of ^in++++=of
8.0 ^cd++++=8.0
3.0 ^cd++++=3.0
substitutions ^nns+nom+++=substitutions
for ^in++++=for
a ^at++++=a
human ^jj++++=human-human
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
25.6 ^cd++++=25.6
2.2 ^cd++++=2.2
substitutions ^nns+nom+++=substitutions
for ^in++++=for
the ^ati++++=the
human ^jj++++=human-Neandertal
- ^zz++++=EXTRAWORD
neandertal ^jj+atrb+++=EXTRAWORD
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
55.0 ^cd++++=55.0
3.0 ^cd++++=3.0
for ^in++++=for
a ^at++++=a
human ^jj++++=human-chimpanzee
- ^zz++++=EXTRAWORD
chimpanzee ^nn+nom+++=EXTRAWORD
relationship ^nn+nom+++=relationship;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
data ^vbz++++=data
is ^vbz+bez+aux++=is
summarized ^vpsv++agls+xvbnx+=summarized
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
mtdna ^nn+++??+=mtDNA
of ^in++++=of
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
closely ^rb++++=closely
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
mtdna ^nn+++??+=mtDNA
of ^in++++=of
any ^dti++++=any
regional ^jj+atrb+++=regional
group ^nn++++=group
of ^in++++=of
modern ^jj+atrb+++=modern
humans ^nns++++=humans
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
in ^in++++=in
disagreement ^nn+nom+++=disagreement
with ^in++++=with
the ^ati++++=the
Multiregional ^np+nom++??+=Multiregional
Model ^nn++++=Model.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
model ^nn++++=model
predicts ^vbz+vpub+++=predicts
that ^tht+vcmp+++=that
European ^jj+atrb+++=European
Neandertals ^nns+nom++??+=Neandertals
should ^md+nec+++=should
be ^vb+be+vrb++=be
closest ^jjt+pred+++=closest
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
modern ^jj+atrb+++=modern
Europeans ^nns+nom+++=Europeans,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
assimilation ^nn+nom+++=assimilation
of ^in++++=of
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
Dna ^np+++??+=DNA
by ^in++++=by
hybridization ^nn+nom+++=hybridization
into ^in++++=into
local ^jj+atrb+++=local
populations ^nns+nom+++=populations.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
reconstruct ^vb++++=reconstruct
a ^at++++=a
phylogeny ^nn+++??+=phylogeny
of ^in++++=of
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
Neandertals ^nns+nom++??+=Neandertals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chimps ^nns+++??+=chimps
predicting ^vwbg+++xvbg+=predicting
a ^at++++=a
human ^jj++++=human-Neandertal
- ^zz++++=EXTRAWORD
neandertal ^jj++++=EXTRAWORD
split ^xvbn+++xvbn+=split
approximately ^rb+down+++=approximately
550 ^cd++++=550-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
to ^to++++=to
690 ^cd++++=690-kya.
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
careful ^jj+pred+++=careful
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
this ^dt+dem+++=this
phylogeny ^nn+++??+=phylogeny
only ^rb+down+++=only
compares ^vbz++++=compares
one ^cd1++++=one
partial ^jj+atrb+++=partial
Neandertal ^np+nom++??+=Neandertal
mtdna ^nn+++??+=mtDNA
genome ^nn+++??+=genome
and ^cc++++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
cautiously ^rb++++=cautiously.
. ^zz++++=EXTRAWORD
( ^zz++++=(Krings
krings ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997)
) ^zz++++=EXTRAWORD
Fig ^nn++++=Fig
2 ^zz++++=2:
: ^zz++++=EXTRAWORD
Net ^jjb+atrb+++=Net
Substitution ^nn+nom+++=Substitution
Differences ^nns+nom+++=Differences
( ^zz++++=(Krings
krings ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997)
) ^zz++++=EXTRAWORD
In ^in++++=In
2000 ^cd++++=2000,
, ^zz++++=EXTRAWORD
Igor ^np+++??+=Igor
Ovchinnikov ^np+++??+=Ovchinnikov
studied ^vbd+++xvbn+=studied
a ^at++++=a
second ^od++++=second
mtdna ^nn+++??+=mtDNA
sequence ^nn+nom+++=sequence
from ^in++++=from
a ^at++++=a
Neandertal ^np+nom++??+=Neandertal,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
dated ^jj++++=dated
at ^rb++++=at
29 ^cd++++=29-ky
- ^zz++++=EXTRAWORD
ky ^nn+++??+=EXTRAWORD
old ^jj++++=old
( ^zz++++=(Ovchinnikov
ovchinnikov ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Archeologists ^nns+nom++??+=Archeologists
unearthed ^vprf+++xvbn+=unearthed
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
in ^in++++=in
the ^ati++++=the
Mezmaiskaya ^np+++??+=Mezmaiskaya
cave ^nn++++=cave
in ^in++++=in
northern ^np++++=northern
Caucasus ^np+++??+=Caucasus
2,500km ^cd++++=2,500km
from ^in++++=from
the ^ati++++=the
Germen ^np+++??+=Germen
location ^nn+nom+++=location,
, ^zz++++=EXTRAWORD
Feldhofer ^np+nom++??+=Feldhofer.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
the ^ati++++=the
same ^ap++++=same
precautions ^nns+nom+++=precautions
and ^cc++++=and
general ^jj+atrb+++=general
techniques ^nns++++=techniques
of ^in++++=of
Krings ^np+++??+=Krings,
, ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
extract ^vb++++=extract
a ^at++++=a
345bp ^cd++++=345bp
segment ^nn+nom+++=segment
of ^in++++=of
mtdna ^nn+++??+=mtDNA.
. ^zz++++=EXTRAWORD
Comparisons ^nns++++=Comparisons
of ^in++++=of
this ^dt+dem+++=this
strand ^nn++++=strand
to ^in++++=to
the ^ati++++=the
Feldhofer ^np+nom++??+=Feldhofer
strand ^nn++++=strand,
, ^zz++++=EXTRAWORD
modern ^jj+atrb+++=modern
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chimpanzees ^nns+nom+++=chimpanzees
revealed ^vbd+vprv++xvbn+=revealed
a ^at++++=a
parsimoniously ^jj+atrb+++=parsimoniously
phylogeny ^nn+++??+=phylogeny
( ^zz++++=(with
with ^in++++=EXTRAWORD
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
bootstrap ^nn+++??+=bootstrap
number ^nn++++=number
being ^vwbg+beg++xvbg+=being
95 ^cd++++=95/100),
where ^wrb+who+++=where
Neandertals ^nns+nom++??+=Neandertals
composed ^vwbn+++xvbn+=composed
a ^at++++=a
separate ^nn+nom+++=separate
species ^nns++++=species
with ^in++++=with
a ^at++++=a
last ^rb++++=last
common ^jj+atrb+++=common
ancestor ^nn++++=ancestor
between ^in++++=between
151 ^cd++++=151-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
and ^cc++++=and
352 ^cd++++=352-kya.
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
date ^nn++++=date,
, ^zz++++=EXTRAWORD
utilizing ^jj+++xvbg+=utilizing
both ^abx++++=both
the ^ati++++=the
Feldhofer ^np+nom++??+=Feldhofer
and ^cc++++=and
Mezmaiskaya ^np+++??+=Mezmaiskaya
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
prediction ^nn+nom+++=prediction
then ^rn+tm+++=then
the ^ati++++=the
previous ^nn++++=previous.
. ^zz++++=EXTRAWORD
As ^in++++=As
with ^in"++++=with
Krings ^np+++??+=Krings,
, ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
stresses ^nns+nom+++=stresses
the ^ati++++=the
same ^ap++++=same
cautious ^jj+atrb+++=cautious
interpretation ^nn+nom+++=interpretation
of ^in++++=of
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
offers ^vbz++++=offers
that ^dt+dem+++=that
the ^ati++++=the
new ^jj+atrb+++=new
evidence ^nn+nom+++=evidence
reinforces ^vbz++++=reinforces
both ^abx++++=both
the ^ati++++=the
techniques ^nns++++=techniques
and ^cc++++=and
the ^ati++++=the
conclusions ^nns++++=conclusions
of ^in++++=of
Krings ^np+++??+=Krings.
. ^zz++++=EXTRAWORD
( ^zz++++=(Ovchinnikov
ovchinnikov ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000)
) ^zz++++=EXTRAWORD
David ^np++++=David
Caramelli ^np+++??+=Caramelli
has ^vbz+hvz+aux++=has
offers ^vbz++++=offers
more ^rbr++++=more
evidence ^nn+nom+++=evidence
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
Neandertal ^np+nom++??+=Neandertal
and ^cc++++=and
humans ^nns++++=humans
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
interbreed ^jj+++xvbn+=interbreed
( ^zz++++=(Caramelli
caramelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Caramelli ^np++++=Caramelli's
's ^$++++=EXTRAWORD
research ^nn++++=research
is ^vbz+bez+vrb++=is
unique ^jj+pred+++=unique
to ^in++++=to
the ^ati++++=the
previous ^jj+atrb+++=previous
studies ^nns++++=studies
because ^cs+cos+++=because
it ^pp3+it+++=it
utilizes ^vbz++++=utilizes
ancient ^jj+atrb+++=ancient
mtdna ^nn+++??+=mtDNA
from ^in++++=from
two ^cd++++=two
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
men ^nns++++=men
fossils ^nns++++=fossils
( ^zz++++=(archaic
archaic ^jj+atrb+++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Sapiens ^np+++??+=Sapiens)
) ^zz++++=EXTRAWORD
dating ^vbg+++xvbg+=dating
23 ^cd++++=23-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
and ^cc++++=and
24 ^cd++++=24-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
and ^cc++++=and
compares ^vbz++++=compares
it ^pp3+it+++=it
with ^in++++=with
Neandertal ^np+nom++??+=Neandertal
mtdna ^nn+++??+=mtDNA
sequences ^nns+nom+++=sequences.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
mtdna ^nn+++??+=mtDNA
and ^cc++++=and
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
Dna ^np+++??+=DNA
to ^to++++=to
be ^vbi++vrb++=be
negligible ^jj+pred+++=negligible:
: ^zz++++=EXTRAWORD
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
man ^nn++++=man
falls ^vbz++++=falls
well ^jj+pred+++=well
with ^in++++=with
in ^in++++=in
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
diversity ^nn+nom+++=diversity.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
Caramelli ^np+++??+=Caramelli
discovered ^vbd+vprv++xvbn+=discovered
that ^tht+vcmp+++=that
Neandertal ^np+nom++??+=Neandertal
mtdna ^jj+++??+=mtDNA
differed ^jj+++xvbn+=differed
significantly ^rb++++=significantly
from ^in++++=from
both ^abx++++=both
the ^ati++++=the
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
and ^cc++++=and
modern ^jj++++=modern
human ^jj++++=human,
, ^zz++++=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
so ^ql++++=so
that ^cs+sub+++=that
unless ^cs+cnd+++=unless
a ^at++++=a
very ^ql+amp+++=very
abnormal ^jj+atrb+++=abnormal
selection ^nn+nom+++=selection
event ^nn++++=event
occurred ^vbd+++xvbn+=occurred
these ^dt+dem+++=these
Neandertals ^nns+nom++??+=Neandertals
never ^rb++++=never
interbreed ^jj+++xvbn+=interbreed
with ^in++++=with
neighboring ^jj+atrb+++=neighboring
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
modern ^jj+atrb+++=modern
gene ^np++++=gene
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
data ^nns++++=data
falls ^vbz++++=falls
short ^jj++++=short
of ^in++++=of
a ^at++++=a
proof ^nn++++=proof
given ^vwbn+++xvbn+=given
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
adna ^nn+++??+=aDNA
research ^nn++++=research.
. ^zz++++=EXTRAWORD
( ^zz++++=(Caramelli
caramelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003)
) ^zz++++=EXTRAWORD
The ^ati++++=The
process ^nns+nom+++=process
of ^in++++=of
extracting ^j++++=extracting
fifty ^cd++++=fifty-thousand
- ^zz++++=EXTRAWORD
thousand ^cd++++=EXTRAWORD
year ^nn++++=year
old ^jj+atrb+++=old
Dna ^np+++??+=DNA
is ^vbz+bez+vrb++=is
no ^at++++=no
easy ^jj+atrb+++=easy
task ^nn++++=task.
. ^zz++++=EXTRAWORD
The ^ati++++=The
complications ^nns+nom+++=complications
and ^cc++++=and
possible ^jj+atrb+++=possible
sources ^nns++++=sources
of ^in++++=of
contamination ^nn+nom+++=contamination
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
main ^jjb+atrb+++=main
critics ^nns++++=critics
of ^in++++=of
the ^ati++++=the
Neandertal ^np+nom++??+=Neandertal
finds ^vbz+vprv+++=finds
( ^zz++++=(Gilbert
gilbert ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
more ^rbr++++=more
research ^nn++++=research
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
will ^md+prd+++=will
resolve ^vb++++=resolve
the ^ati++++=the
questions ^nns+nom+++=questions
created ^vwbn+++xvbn+=created
by ^in++++=by
the ^ati++++=the
research ^nn++++=research.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
distinct ^jj+atrb+++=distinct
species ^nn++++=species
of ^in++++=of
hominids ^nns+++??+=hominids,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
Replacement ^nn+nom+++=Replacement
model ^nn++++=model
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
Conclusions ^nns++++=CONCLUSIONS:
